u,v,key,source,target,length
393087849,5831663097,0,393087849,5831663097,9.575663130207127
393087849,8794923829,0,393087849,8794923829,344.4271554358898
393087849,5831545504,0,393087849,5831545504,284.79194800927496
393089400,393089403,0,393089400,393089403,86.95652692782272
393089400,8794923829,0,393089400,8794923829,144.38391740906007
393089400,5831663000,0,393089400,5831663000,127.99379907671029
393089403,393089416,0,393089403,393089416,418.904912506383
393089403,393089400,0,393089403,393089400,86.95652692782272
393089403,7645633797,0,393089403,7645633797,378.1221879720274
393089416,7645626376,0,393089416,7645626376,55.365720047548535
393089416,7645633792,0,393089416,7645633792,58.733951901529785
393089416,393089403,0,393089416,393089403,418.904912506383
393089421,393089424,0,393089421,393089424,75.81927861690804
393089421,7645633792,0,393089421,7645633792,24.855446923899898
393089421,7645633796,0,393089421,7645633796,155.8897198021097
393089424,7645626381,0,393089424,7645626381,7.394686359235676
393089424,393089421,0,393089424,393089421,75.81927861690804
393089424,8118248649,0,393089424,8118248649,147.77714685506805
393089437,8118243891,0,393089437,8118243891,8.989549897751033
393089437,8118243898,0,393089437,8118243898,106.83149572770502
393089437,8118243890,0,393089437,8118243890,27.502024727526894
